num_functions,num_edges,num_indep_funcs,presence_+-,presence_><,presence_][,max_control,dag_equivalence_class,labeled_graph_hash,tt_size_4_count,tt_size_4_OR,tt_size_8_count,tt_size_8_tt_sym_0,tt_size_8_tt_sym_1,tt_size_8_tt_sym_2,tt_size_4_XOR,tt_size_2_count,tt_size_2_tt_sym_0,tt_size_2_balanced,tt_size_4_NOT_A_OR_B,tt_size_4_A_OR_NOT_B,tt_size_8_balanced,tt_size_4_XNOR,tt_size_4_NAND,tt_size_4_NOR,tt_size_4_NOT_A_AND_B,tt_size_4_AND,tt_size_4_A_AND_NOT_B
3,other,0,1,0,0,3,other,other,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other,other,other,other,2.0
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,ecf3823d5a4d59543a2935b66fbdec06,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,2.0,other,other,other,2.0,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,908ccf0f892726fb19d2fdbb5589e828,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,2.0,other,other,other,other
3,8,0,1,0,0,3,70e1d4e118d076514296ccf0f2db8f71,2126aa829643dcfef46ff3db78f322a8,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,other,2.0,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,58f52404578285e9516d6c501d12d7d7,1.0,other,2.0,3.0,3.0,3.0,2.0,other,other,other,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,ecf3823d5a4d59543a2935b66fbdec06,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,2.0,other,other,other,other,other
other,other,0,other,other,other,other,other,other,1.0,other,other,other,other,other,other,1.0,2.0,2.0,2.0,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,4f3172f580a4b9d9873dda9a5ccccdb0,1.0,other,2.0,3.0,3.0,3.0,2.0,other,other,other,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,ecf3823d5a4d59543a2935b66fbdec06,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,2.0,other,other,other,other,other,other,other,other
other,other,0,other,other,other,other,121d08e8d3508f48216f1b69b3d23605,other,other,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other,other,other,other
3,8,0,1,0,0,3,70e1d4e118d076514296ccf0f2db8f71,ef0aa4d7d32eef317e002853a776a147,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,2.0,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,4f3172f580a4b9d9873dda9a5ccccdb0,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,2.0,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,908ccf0f892726fb19d2fdbb5589e828,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,2.0,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,4f3172f580a4b9d9873dda9a5ccccdb0,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,2.0,other,other,other,other,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,a290c37ce461b1258f0edd054a8e8940,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,2.0,other,other,other,other,other
3,other,other,1,0,0,3,39751a061542377f4e2a0beb0c8309ac,other,1.0,2.0,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,a290c37ce461b1258f0edd054a8e8940,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,2.0,other,other,other,2.0,other,other
3,8,0,1,0,0,3,70e1d4e118d076514296ccf0f2db8f71,2126aa829643dcfef46ff3db78f322a8,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,other,2.0,other,other
3,other,0,1,0,0,3,other,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other,other,other,other,other,other
other,other,0,1,0,0,other,other,other,1.0,2.0,other,other,other,other,other,1.0,2.0,2.0,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,58f52404578285e9516d6c501d12d7d7,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,2.0,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,13f2efed502683c45be6ed5e712775c8,1.0,2.0,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,ecf3823d5a4d59543a2935b66fbdec06,1.0,2.0,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,4f3172f580a4b9d9873dda9a5ccccdb0,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,2.0,other,other,other,other
other,other,0,other,other,other,other,other,57f8a68d4361fb8f3b29ad1bad590e75,other,other,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other,other,other
3,8,0,1,0,0,3,70e1d4e118d076514296ccf0f2db8f71,ef0aa4d7d32eef317e002853a776a147,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,2.0,2.0,other,other,other,other,other
3,8,0,1,0,0,3,70e1d4e118d076514296ccf0f2db8f71,ef0aa4d7d32eef317e002853a776a147,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,2.0,other,2.0,other,other,other,other
3,other,0,1,0,0,3,other,2de8f2eb13bdb957421b83ca32962397,other,other,2.0,3.0,3.0,3.0,other,1.0,2.0,2.0,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,ecf3823d5a4d59543a2935b66fbdec06,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,other,2.0,other,other
3,other,other,1,0,0,3,39751a061542377f4e2a0beb0c8309ac,49ff3d68b03970787bff12732c915d7d,1.0,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other,other,other,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,13f2efed502683c45be6ed5e712775c8,1.0,other,2.0,3.0,3.0,3.0,2.0,other,other,other,other,other,other,other,other,other,other,other,other
other,other,0,1,0,0,3,other,36c18a5eadbddf5f5730a1298f7bfea3,1.0,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,f09452872f697d712d7d224467288261,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,2.0,2.0,other,other,other,other,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,a290c37ce461b1258f0edd054a8e8940,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,2.0,other,other,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,a290c37ce461b1258f0edd054a8e8940,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,2.0,other,other,other,other
3,other,other,1,0,0,3,other,a2733b7ff5e30b109a840b92200c7f61,other,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,other,other,other,other
other,other,0,other,other,other,other,121d08e8d3508f48216f1b69b3d23605,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other
3,other,other,1,0,0,3,other,a2733b7ff5e30b109a840b92200c7f61,other,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,other,other,other,other
3,other,0,1,0,0,3,other,15d71bc25a214637752ef419151b1fd8,other,other,2.0,3.0,3.0,3.0,other,1.0,2.0,2.0,other,other,other,other,other,other,other,other,other
other,other,0,1,0,0,3,other,36c18a5eadbddf5f5730a1298f7bfea3,1.0,2.0,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other
3,other,0,1,0,0,3,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other
3,other,0,1,0,0,3,other,other,other,other,2.0,3.0,3.0,3.0,other,1.0,2.0,2.0,other,other,2.0,other,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,58f52404578285e9516d6c501d12d7d7,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,2.0,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,ecf3823d5a4d59543a2935b66fbdec06,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,2.0,other,other,other,other,other,2.0
3,other,0,1,0,0,3,a69d8d31196ad888a5bf41504c03de86,12a57c8bdaad7f967c06a4c5bea5a87f,other,other,2.0,3.0,3.0,3.0,other,1.0,2.0,2.0,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,13f2efed502683c45be6ed5e712775c8,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,2.0,other,other,other,other,other
other,other,0,other,other,other,other,496b1d087247d9edf9bbdde67e7e4036,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,a290c37ce461b1258f0edd054a8e8940,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,2.0,other,other,other
3,other,0,1,0,0,3,other,other,other,other,2.0,3.0,3.0,3.0,other,1.0,2.0,2.0,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,6973943555b3bb838d763876c93538fe,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,2.0,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,ecf3823d5a4d59543a2935b66fbdec06,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,other,other,2.0,other
3,other,other,1,0,0,3,other,other,other,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,ecf3823d5a4d59543a2935b66fbdec06,1.0,other,2.0,3.0,3.0,3.0,2.0,other,other,other,other,other,2.0,other,other,other,other,other,other
3,other,other,1,0,0,3,39751a061542377f4e2a0beb0c8309ac,other,1.0,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,58f52404578285e9516d6c501d12d7d7,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,2.0,other,other,other,other,other,other,other,other
3,other,other,1,0,0,3,39751a061542377f4e2a0beb0c8309ac,174977a4894a10749e1ea65add5ed8b2,1.0,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other,other,other,other
3,other,0,1,0,0,3,a69d8d31196ad888a5bf41504c03de86,12a57c8bdaad7f967c06a4c5bea5a87f,other,other,2.0,3.0,3.0,3.0,other,1.0,2.0,2.0,other,other,2.0,other,other,other,other,other,other
3,other,other,1,0,0,3,39751a061542377f4e2a0beb0c8309ac,49ff3d68b03970787bff12732c915d7d,1.0,other,other,other,other,other,other,other,other,other,other,2.0,other,other,other,other,other,other,other
3,other,0,1,0,0,3,other,other,other,2.0,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other
other,other,0,other,other,other,other,496b1d087247d9edf9bbdde67e7e4036,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other
3,other,0,1,0,0,3,other,other,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other,other,other,other,other
3,other,0,1,0,0,3,a69d8d31196ad888a5bf41504c03de86,other,other,other,2.0,3.0,3.0,3.0,other,1.0,2.0,2.0,other,other,2.0,other,other,other,other,other,other
3,other,0,1,0,0,3,other,other,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other,other,other,other,other
3,other,other,1,0,0,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other
other,other,0,other,other,other,other,496b1d087247d9edf9bbdde67e7e4036,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,4f3172f580a4b9d9873dda9a5ccccdb0,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,2.0,other,other,other,other,other,other,other
3,8,0,1,0,0,3,70e1d4e118d076514296ccf0f2db8f71,2126aa829643dcfef46ff3db78f322a8,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,other,other,2.0,other
3,8,0,1,0,0,3,70e1d4e118d076514296ccf0f2db8f71,ef0aa4d7d32eef317e002853a776a147,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,other,2.0,other,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,a290c37ce461b1258f0edd054a8e8940,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,other,2.0,other,other
other,other,0,other,other,other,other,other,other,1.0,other,other,other,other,other,other,1.0,2.0,2.0,other,other,other,other,2.0,other,other,other,other
3,8,0,1,0,0,3,70e1d4e118d076514296ccf0f2db8f71,ef0aa4d7d32eef317e002853a776a147,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,other,other,other,2.0
3,8,0,1,0,0,3,70e1d4e118d076514296ccf0f2db8f71,2126aa829643dcfef46ff3db78f322a8,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,2.0,other,other,other,other,other,other,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,a290c37ce461b1258f0edd054a8e8940,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,2.0,other,other,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,58f52404578285e9516d6c501d12d7d7,1.0,2.0,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,6973943555b3bb838d763876c93538fe,1.0,other,2.0,3.0,3.0,3.0,2.0,other,other,other,other,other,other,other,other,other,other,other,other
other,other,0,1,0,0,3,other,36c18a5eadbddf5f5730a1298f7bfea3,1.0,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other,other,other,other
3,8,0,1,0,0,3,70e1d4e118d076514296ccf0f2db8f71,2126aa829643dcfef46ff3db78f322a8,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,2.0,other,other,other,other,other
3,other,0,1,0,0,3,other,other,other,other,other,other,other,other,other,other,other,other,other,other,2.0,2.0,other,other,other,other,other
3,other,0,1,0,0,3,other,15d71bc25a214637752ef419151b1fd8,other,other,2.0,3.0,3.0,3.0,other,1.0,2.0,2.0,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,4f3172f580a4b9d9873dda9a5ccccdb0,1.0,other,2.0,3.0,3.0,3.0,2.0,other,other,other,other,other,2.0,other,other,other,other,other,other
3,other,other,1,0,0,3,39751a061542377f4e2a0beb0c8309ac,other,1.0,other,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,f09452872f697d712d7d224467288261,1.0,other,2.0,3.0,3.0,3.0,2.0,other,other,other,other,other,other,other,other,other,other,other,other
other,other,0,1,0,0,other,other,other,1.0,other,other,other,other,other,other,1.0,2.0,2.0,other,other,other,other,other,other,other,2.0,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,13f2efed502683c45be6ed5e712775c8,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,2.0,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,f09452872f697d712d7d224467288261,1.0,other,2.0,3.0,3.0,3.0,2.0,other,other,other,other,other,other,other,other,other,other,other,other
other,other,0,other,other,other,other,121d08e8d3508f48216f1b69b3d23605,c6759bd27af42393f12bd5da489f3f43,other,other,other,other,other,other,2.0,other,other,other,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,13f2efed502683c45be6ed5e712775c8,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,2.0,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,6973943555b3bb838d763876c93538fe,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,2.0,other,other,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,a290c37ce461b1258f0edd054a8e8940,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,other,other,2.0,other
3,other,0,1,0,0,3,other,efd2af8616991c24ba53970fd8e64fce,other,other,2.0,3.0,3.0,3.0,other,1.0,2.0,2.0,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,13f2efed502683c45be6ed5e712775c8,1.0,2.0,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,other,other,other,other
other,other,0,other,other,other,other,other,57f8a68d4361fb8f3b29ad1bad590e75,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,a290c37ce461b1258f0edd054a8e8940,1.0,other,2.0,3.0,3.0,3.0,2.0,other,other,other,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,4f3172f580a4b9d9873dda9a5ccccdb0,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,2.0,other,other,other
3,8,0,1,0,0,3,70e1d4e118d076514296ccf0f2db8f71,2126aa829643dcfef46ff3db78f322a8,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,2.0,other,other,other,other,other,other,other,other
other,other,0,other,other,other,other,121d08e8d3508f48216f1b69b3d23605,228b2f6b1d7606944b9d85412a6d8887,other,other,other,other,other,other,other,other,other,other,2.0,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,70e1d4e118d076514296ccf0f2db8f71,ef0aa4d7d32eef317e002853a776a147,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,2.0,2.0,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,908ccf0f892726fb19d2fdbb5589e828,1.0,other,2.0,3.0,3.0,3.0,2.0,other,other,other,other,other,other,other,other,other,other,other,other
3,other,other,1,0,0,3,other,other,other,other,other,other,other,other,other,1.0,2.0,2.0,other,other,2.0,other,other,other,other,other,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,13f2efed502683c45be6ed5e712775c8,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,2.0,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,f09452872f697d712d7d224467288261,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,2.0,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,908ccf0f892726fb19d2fdbb5589e828,1.0,2.0,2.0,3.0,3.0,3.0,other,other,other,other,other,other,2.0,other,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,58f52404578285e9516d6c501d12d7d7,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,2.0,other,other,other,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,6973943555b3bb838d763876c93538fe,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,2.0,other,2.0,other,other,other,other,other,other
3,other,0,1,0,0,3,other,other,other,other,2.0,3.0,3.0,3.0,other,1.0,2.0,2.0,other,other,other,other,other,other,other,other,other
other,other,0,other,other,other,other,496b1d087247d9edf9bbdde67e7e4036,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other,other
3,8,0,1,0,0,3,70e1d4e118d076514296ccf0f2db8f71,2126aa829643dcfef46ff3db78f322a8,1.0,2.0,2.0,3.0,3.0,3.0,other,other,other,other,other,other,2.0,other,other,other,other,other,other
other,other,0,1,0,0,3,other,36c18a5eadbddf5f5730a1298f7bfea3,1.0,other,other,other,other,other,2.0,other,other,other,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,70e1d4e118d076514296ccf0f2db8f71,2126aa829643dcfef46ff3db78f322a8,1.0,other,2.0,3.0,3.0,3.0,2.0,other,other,other,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,70e1d4e118d076514296ccf0f2db8f71,2126aa829643dcfef46ff3db78f322a8,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,2.0,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,f09452872f697d712d7d224467288261,1.0,2.0,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,other,other,other,other
3,other,0,1,0,0,3,other,other,1.0,other,other,other,other,other,2.0,1.0,2.0,2.0,other,other,2.0,other,other,other,other,other,other
other,other,0,other,other,other,other,121d08e8d3508f48216f1b69b3d23605,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,ecf3823d5a4d59543a2935b66fbdec06,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,2.0,other,other,other,other,other
other,other,0,other,other,other,other,other,57f8a68d4361fb8f3b29ad1bad590e75,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other,other
3,8,0,1,0,0,3,70e1d4e118d076514296ccf0f2db8f71,2126aa829643dcfef46ff3db78f322a8,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,2.0,other,other,other,2.0,other,other
3,other,0,1,0,0,3,other,2de8f2eb13bdb957421b83ca32962397,other,other,2.0,3.0,3.0,3.0,other,1.0,2.0,2.0,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,908ccf0f892726fb19d2fdbb5589e828,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,2.0,other,other,other,other
3,other,0,1,0,0,3,a69d8d31196ad888a5bf41504c03de86,cd6687c4e6d0f5aec1a771b61f17342f,other,other,2.0,3.0,3.0,3.0,other,1.0,2.0,2.0,other,other,other,other,other,other,other,other,other
3,other,0,1,0,0,3,other,other,1.0,other,other,other,other,other,other,1.0,2.0,2.0,other,other,other,other,2.0,other,other,other,other
other,other,0,other,other,other,other,496b1d087247d9edf9bbdde67e7e4036,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other,other
3,other,0,1,0,0,3,other,2de8f2eb13bdb957421b83ca32962397,other,other,2.0,3.0,3.0,3.0,other,1.0,2.0,2.0,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,58f52404578285e9516d6c501d12d7d7,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,2.0,other,other,other,other,other
3,other,other,1,0,0,3,39751a061542377f4e2a0beb0c8309ac,174977a4894a10749e1ea65add5ed8b2,1.0,2.0,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,6973943555b3bb838d763876c93538fe,1.0,2.0,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,58f52404578285e9516d6c501d12d7d7,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,2.0,other,other,other,other,other
3,other,0,1,0,0,3,other,other,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other,other,other,other,2.0
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,58f52404578285e9516d6c501d12d7d7,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,other,2.0,other,other
other,other,0,other,other,other,other,121d08e8d3508f48216f1b69b3d23605,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other
3,other,other,1,0,0,3,39751a061542377f4e2a0beb0c8309ac,49ff3d68b03970787bff12732c915d7d,1.0,other,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other,other,other
other,other,0,other,other,other,other,121d08e8d3508f48216f1b69b3d23605,228b2f6b1d7606944b9d85412a6d8887,other,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other,other,other,other
other,other,0,other,other,other,other,other,other,1.0,other,other,other,other,other,other,1.0,2.0,2.0,other,other,other,other,other,other,other,other,2.0
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,6973943555b3bb838d763876c93538fe,1.0,other,2.0,3.0,3.0,3.0,2.0,other,other,other,other,other,other,other,other,other,other,other,other
3,other,0,1,0,0,3,other,other,other,other,other,other,other,other,2.0,other,other,other,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,4f3172f580a4b9d9873dda9a5ccccdb0,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,2.0,other,other,other,other,other,other,other
3,other,0,1,0,0,3,other,efd2af8616991c24ba53970fd8e64fce,other,other,2.0,3.0,3.0,3.0,other,1.0,2.0,2.0,other,other,other,other,other,other,other,other,other
other,other,0,1,0,0,3,other,other,other,other,other,other,other,other,other,1.0,2.0,2.0,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,70e1d4e118d076514296ccf0f2db8f71,2126aa829643dcfef46ff3db78f322a8,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,other,2.0,other,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,a290c37ce461b1258f0edd054a8e8940,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,other,2.0,other,other
3,other,other,1,0,0,3,39751a061542377f4e2a0beb0c8309ac,49ff3d68b03970787bff12732c915d7d,1.0,other,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other,other,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,a290c37ce461b1258f0edd054a8e8940,1.0,other,2.0,3.0,3.0,3.0,2.0,other,other,other,other,other,other,other,other,other,other,other,other
3,other,other,1,0,0,3,39751a061542377f4e2a0beb0c8309ac,d760db760925304b569744a6cafdf2b7,1.0,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other,other,other,other,2.0
3,other,0,1,0,0,3,other,2de8f2eb13bdb957421b83ca32962397,other,other,2.0,3.0,3.0,3.0,other,1.0,2.0,2.0,other,other,other,other,other,other,other,other,other
